Location,URL,SKU,Title,Price,Category,Num_Bedrooms,Num_Bathrooms,Floor_Area,Land_Area,Description,Agent_Name,Agent_Link,Agent_Verification,File,Latitude,Longitude,LRTHubName,LRTHubDist,BusHubName,BusHubDist,HospitalHubName,HospitalHubDist,MallHubName,MallHubDist,SchoolHubName,SchoolHubDist,BusCount,HospitalCount,MallCount,SchoolCount,Concat,Property Type,Processed_Location,Matched_Zonal_Value
"Tapia, General Trias",https://www.lamudi.com.ph/projects/riverlane-trail/commercial-house-and-lot-for-sale-at-general-trias-172067410878/,CO667533CB66554PH,Commercial House and Lot For Sale at General Trias Cavite Riverlane Trail ,7123200.0,commercial,0.0,0.0,104.0,132.0,"RIVERLANE TRAIL GENERAL TRIASCOMMERCIAL LOTS WITH BUILDING FOR SALE Location Brgy. Tapia Along Gov. Ferrer Drive, General Trias Cavite. On Going Construction Stage Available thru BANK Financing Near Cavitex and Calax Along the highway BASIC TURNOVER Lot",Venus Domincel,https://www.lamudi.com.ph/venus-barola-domincel-agn-913082/,FULLY VERIFIED,Cavite,120.876425,14.35507,NIOG,14.6402542171749,n12183621488,2.14783677699228,w988449877,2.15541619028318,Vista Mall Tanza,2.21746174101757,w1030844111,0.496504870314493,0,0,0,2,7123200.0 commercial 0.0 0.0 104.0 132.0,CR,tapia general trias,**
"Salawag, Dasmariñas",https://www.lamudi.com.ph/projects/the-courtyards-vermosa/tranquil-luxury-living-discover-the-courtyards-ver-171464127765/,CO6627318B546C5PH,Tranquil Luxury Living Discover the Courtyards Vermosa by Ayala Land Premier,38794000.0,commercial,0.0,0.0,0.0,683.0,"Experience urban living amidst serene suburban landscapes at The Courtyards by Ayala Land Premier. Situated within the expansive Vermosa mixed use estate spanning Dasmariñas and Imus in Cavite, this distinguished development offers an unparalleled resid",Laarni Marie,https://www.lamudi.com.ph/laarni-marie-dabo-agn-623343/,FULLY VERIFIED,Cavite,120.987297,14.342521,NIOG,13.2835905668804,n6205711126,0.370304924095025,w1318774954,1.29969409344669,The District Dasmariñas by Ayala Malls,2.01626798210059,w1318774953,1.3428309525162,5,0,0,0,38794000.0 commercial 0.0 0.0 0.0 683.0,CR,salawag dasmariñas,18000
"Daang Amaya II, Tanza",https://www.lamudi.com.ph/buy/cavite/tanza/tanza-cavite-commercial-warehouse-property-for-sale/,CO621F092DC04DDPH,"Tanza , Cavite Commercial Warehouse Property for Sale",55000000.0,commercial,0.0,0.0,0.0,982.0,With Retail space in front With Small Residential Building with roofed area for warehouse easily convertible to warehouse Very good location Boundary of General Trias 12.43 meter frontage Along Antero Soriano Highway 550 m away from Robinsons Place,Konem Realty,https://www.lamudi.com.ph/konem-realty-agn-1/,FULLY VERIFIED,Cavite,120.8512103,14.3959044,NIOG,13.6579758608846,n9388073464,0.442618492775949,w190079521,0.648965290873131,SM City Tanza,0.400866803860038,w169517584,0.243466215281934,1,1,1,5,55000000.0 commercial 0.0 0.0 0.0 982.0,CR,daang amaya ii tanza,**
"Salawag, Dasmariñas",https://www.lamudi.com.ph/buy/cavite/dasmarinas/four-storey-commercial-bldg-for-sale-in-dasma-cavi-172075911123/,CO6690B347CEB25PH,"Four Storey Commercial Bldg for SALE in Dasma, Cavite",9000000.0,commercial,0.0,0.0,200.0,75.0,"FOR SALE Blk 53 Lot 27 Molino Paliparan Rd. corner Golden City, Brgy. Salawag, Dasmariñas, Cavite Four Storey Commercial Building Mixed Use Lot Area 75 sqm Floor Area 200 sqm 1 carpark 2 e bike Strong foot traffic, certified commercial area Rental",Philip Co,https://www.lamudi.com.ph/philip-co-properties-agn-734830/,FULLY VERIFIED,Cavite,120.987297,14.342521,NIOG,13.2835905668804,n6205711126,0.370304924095025,w1318774954,1.29969409344669,The District Dasmariñas by Ayala Malls,2.01626798210059,w1318774953,1.3428309525162,5,0,0,0,9000000.0 commercial 0.0 0.0 200.0 75.0,CR,salawag dasmariñas,59000
"Salawag, Dasmariñas",https://www.lamudi.com.ph/projects/the-courtyards-vermosa/tranquility-awaits-discover-the-courtyards-vermosa-171464127611/,CO66270BE5078AAPH,Tranquility Awaits Discover The Courtyards Vermosa by Ayala Land Premier,48705000.0,commercial,0.0,0.0,0.0,850.0,"Discover the perfect blend of urban convenience and suburban tranquility at The Courtyards Vermosa by Ayala Land Premier. Nestled within the expansive Vermosa estate, spanning Dasmariñas and Imus, this premier residential community offers an unparallele",Laarni Marie,https://www.lamudi.com.ph/laarni-marie-dabo-agn-623343/,FULLY VERIFIED,Cavite,120.987297,14.342521,NIOG,13.2835905668804,n6205711126,0.370304924095025,w1318774954,1.29969409344669,The District Dasmariñas by Ayala Malls,2.01626798210059,w1318774953,1.3428309525162,5,0,0,0,48705000.0 commercial 0.0 0.0 0.0 850.0,CR,salawag dasmariñas,57000
"Pasong Kawayan I, General Trias",https://www.lamudi.com.ph/buy/cavite/general-trias/commercial-unit-in-general-trias-cavite-171971476424/,CO6680C3CC0D1D2PH,"Commercial Unit in General Trias, Cavite",3800000.0,commercial,0.0,0.0,76.0,69.75,"Opening a store where you can also use it as a safe haven of your family? Check our commercial unit located in General Trias, Cavite. Unit can be use as warehouse of your items to sell, and it can be also use as office of your staffs, or a staff house. M",Angelo Olvez,https://www.lamudi.com.ph/k-l-covenant-partners-marketing-agn/,FULLY VERIFIED,Cavite,120.881059,14.34661,NIOG,15.103758477951,n5600908857,2.21032072936458,w988449877,3.00436983365695,Vista Mall Tanza,2.26031514889872,w169832991,0.0994531647970766,0,0,0,2,3800000.0 commercial 0.0 0.0 76.0 69.75,CR,pasong kawayan general trias,1600
"Salawag, Dasmariñas",https://www.lamudi.com.ph/projects/the-courtyards-vermosa/elevate-your-lifestyle-and-discover-the-beauty-of-171464127692/,CO662733B6F3FA3PH,Elevate your lifestyle and discover the beauty of The Courtyards Vermosa,28500000.0,commercial,0.0,0.0,0.0,600.0,"Elevate your retail presence amidst the serene environs of The Courtyards Vermosa by Ayala Land Premier. Nestled within the expansive Vermosa mixed use estate, spanning the vibrant cities of Dasmariñas and Imus in Cavite, this distinguished development",Laarni Marie,https://www.lamudi.com.ph/laarni-marie-dabo-agn-623343/,FULLY VERIFIED,Cavite,120.987297,14.342521,NIOG,13.2835905668804,n6205711126,0.370304924095025,w1318774954,1.29969409344669,The District Dasmariñas by Ayala Malls,2.01626798210059,w1318774953,1.3428309525162,5,0,0,0,28500000.0 commercial 0.0 0.0 0.0 600.0,CR,salawag dasmariñas,35000
"Salawag, Dasmariñas",https://www.lamudi.com.ph/projects/the-courtyards-vermosa/unwind-in-exquisite-luxury-at-the-courtyards-vermo-171384402064/,CO66272F3481FD2PH,Unwind in Exquisite Luxury at The Courtyards Vermosa by Ayala Land Premier,40922000.0,commercial,0.0,0.0,0.0,740.0,"Discover the perfect blend of urban convenience and suburban tranquility at The Courtyards Vermosa by Ayala Land Premier. Nestled within the expansive Vermosa estate, spanning Dasmariñas and Imus, this premier residential community offers an unparallele",Laarni Marie,https://www.lamudi.com.ph/laarni-marie-dabo-agn-623343/,FULLY VERIFIED,Cavite,120.987297,14.342521,NIOG,13.2835905668804,n6205711126,0.370304924095025,w1318774954,1.29969409344669,The District Dasmariñas by Ayala Malls,2.01626798210059,w1318774953,1.3428309525162,5,0,0,0,40922000.0 commercial 0.0 0.0 0.0 740.0,CR,salawag dasmariñas,35000
"Salawag, Dasmariñas",https://www.lamudi.com.ph/projects/the-courtyards-vermosa/whispers-of-luxury-embrace-the-courtyards-vermosa-17146412785/,CO66272D6D2B809PH,Whispers of Luxury Embrace The Courtyards Vermosa by Ayala Land Premier,36725000.0,commercial,0.0,0.0,0.0,650.0,"Discover the perfect blend of urban convenience and suburban tranquility at The Courtyards Vermosa by Ayala Land Premier. Nestled within the expansive Vermosa estate, spanning Dasmariñas and Imus, this premier residential community offers an unparallele",Laarni Marie,https://www.lamudi.com.ph/laarni-marie-dabo-agn-623343/,FULLY VERIFIED,Cavite,120.987297,14.342521,NIOG,13.2835905668804,n6205711126,0.370304924095025,w1318774954,1.29969409344669,The District Dasmariñas by Ayala Malls,2.01626798210059,w1318774953,1.3428309525162,5,0,0,0,36725000.0 commercial 0.0 0.0 0.0 650.0,CR,salawag dasmariñas,**
"Salawag, Dasmariñas",https://www.lamudi.com.ph/projects/the-courtyards-vermosa/immerse-in-tranquil-living-at-the-courtyards-vermo-171384271716/,CO66272A1DB0F65PH,Immerse in Tranquil Living at The Courtyards Vermosa by Ayala Land Premier,36725000.0,commercial,0.0,0.0,0.0,650.0,"Discover the perfect blend of urban convenience and suburban tranquility at The Courtyards Vermosa by Ayala Land Premier. Nestled within the expansive Vermosa estate, spanning Dasmariñas and Imus, this premier residential community offers an unparallele",Laarni Marie,https://www.lamudi.com.ph/laarni-marie-dabo-agn-623343/,FULLY VERIFIED,Cavite,120.987297,14.342521,NIOG,13.2835905668804,n6205711126,0.370304924095025,w1318774954,1.29969409344669,The District Dasmariñas by Ayala Malls,2.01626798210059,w1318774953,1.3428309525162,5,0,0,0,36725000.0 commercial 0.0 0.0 0.0 650.0,CR,salawag dasmariñas,64000
"Salawag, Dasmariñas",https://www.lamudi.com.ph/projects/the-courtyards-vermosa/embrace-luxury-living-the-courtyards-vermosa-by-ay-171490367629/,CO6629B141C1FDDPH,Embrace Luxury Living The Courtyards Vermosa by Ayala Land Premier,24727500.0,commercial,0.0,0.0,0.0,525.0,"Discover the perfect blend of urban convenience and suburban tranquility at The Courtyards Vermosa by Ayala Land Premier. Nestled within the expansive Vermosa estate, spanning Dasmariñas and Imus, this premier residential community offers an unparallele",Laarni Marie,https://www.lamudi.com.ph/laarni-marie-dabo-agn-623343/,FULLY VERIFIED,Cavite,120.987297,14.342521,NIOG,13.2835905668804,n6205711126,0.370304924095025,w1318774954,1.29969409344669,The District Dasmariñas by Ayala Malls,2.01626798210059,w1318774953,1.3428309525162,5,0,0,0,24727500.0 commercial 0.0 0.0 0.0 525.0,CR,salawag dasmariñas,2100
"Sahud Ulan, Tanza",https://www.lamudi.com.ph/projects/suntrust-ecotown-tanza/warehouse-for-sale-in-cavite-suntrust-ecotown-4-873-sqm-peza-accredited/,CO62987034C0C88PH,"Warehouse For Sale In Cavite Suntrust Ecotown 4,873 Sqm Peza Accredited",170000000.0,commercial,0.0,0.0,4873.0,4873.0,"Warehouse For Sale In Cavite Suntrust Ecotown 4,873 Sqm Peza Accredited Suntrust Ecotown Industrial Park Tanza, Cavite 4,873 sqm warehouse factory FOR SALE PEZA Accredited location Key Features 3x Warehouse Bldg w roof insulation, exhaust ventil",Franzel Muñez,https://www.lamudi.com.ph/franzel-munez-agn/,SEMI VERIFIED,Cavite,120.822985,14.35989,NIOG,18.4137582278993,n325099771,0.720641104552063,w1026031430,0.93916346643862,Vista Mall Tanza,4.49731334179446,n2937468497,0.984277774526087,1,1,0,1,170000000.0 commercial 0.0 0.0 4873.0 4873.0,CR,sahud ulan tanza,35000
"Salaban, Amadeo",https://www.lamudi.com.ph/buy/cavite/amadeo/non-operational-rehab-center-for-sale-in-amadeo-ca-17083212638/,CO5E5F276F2EA94PH,Non Operational Rehab Center For Sale in Amadeo Cavite.Good For AirBnB Business,25000000.0,commercial,0.0,0.0,800.0,1330.0,"BEST BUY! NON OPERATIONAL REHAB RETREAT HOUSE IN AMADEO CAVITE. CAN BE CONVERTED TO HOTEL RESTAURANT HOME CARE SCHOOL CHURCH EVENT PLACE OR AIRBNB BUSINESS. PROPERTY DETAILS Lot Area 1,330 SQM more or less Floor Area 800 SQM more or les",Berdea Realty Services,https://www.lamudi.com.ph/berdea-realty/,FULLY VERIFIED,Cavite,120.931519,14.132545,NIOG,36.3070263709476,n6045538454,2.79188945615306,n2006277622,2.90659896154675,Ayala Malls Serin,3.80619991148292,w412340879,0.488730266349215,0,0,0,2,25000000.0 commercial 0.0 0.0 800.0 1330.0,CR,salaban amadeo,113000
"Paliparan I, Dasmariñas",https://www.lamudi.com.ph/buy/cavite/dasmarinas/4-storey-bldg-office-commercial-penthouse-basement-170834297361/,CO65D0926F5EE4DPH,4 Storey Bldg. Office Commercial Penthouse Basement 2 Warehouses,167474999.99999997,commercial,0.0,0.0,3760.0,3000.0,"FOR SALE !!! 1. The property is a four storey office Commercial Bldg. Penthouse Basement 2 Warehouses 2. It sits on a 3,000 sqm prime location near the main road inside the technopark. 3. The property is equipped with CCTV cameras, a Kone elevato",Broker She Manalang,https://www.lamudi.com.ph/-6221/,FULLY VERIFIED,Cavite,120.986405,14.282791,NIOG,19.7659485925217,n9897563526,0.569673920233619,w591128598,1.101181292651,Unitop Mall Dasmariñas	,0.605922280743645,w92432642,1.11489608241184,12,0,1,0,167474999.99999997 commercial 0.0 0.0 3760.0 3000.0,CR,paliparan dasmariñas,**
"San Jose, Dasmariñas",https://www.lamudi.com.ph/buy/cavite/dasmarinas/warehouse-land-office-cavite-trucking-17168491272/,CO665509E72DA0APH,Warehouse Land Office Cavite Trucking,14600000.0,commercial,0.0,0.0,0.0,1106.0,"Property Available for Sale Location Carlos Trinidad Ave, Dasmarinas City, Cavite Lot Size 1,106 sqm Facilities Includes Staff house, office building, and storage space Ideal Use Logistics, warehousing, trucking Accessable up to Container V",Rogie Mercado Jr.,https://www.lamudi.com.ph/rogelio-mercado-jr-agn/,FULLY VERIFIED,Cavite,120.926929,14.336945,NIOG,14.0180684711808,n8193348369,1.11122894228323,w424875509,0.975338725521878,Central Mall Dasmariñas	,1.88693502383949,w877450928,0.364770066985582,0,2,0,7,14600000.0 commercial 0.0 0.0 0.0 1106.0,CR,san jose dasmariñas,139000
"Silangan II, Rosario",https://www.lamudi.com.ph/buy/cavite/rosario-2/for-sale-commercial-property-at-silangan-ii-rosari-171586175976/,CO6645F8FF76F41PH,"FOR SALE Commercial Property at Silangan II, Rosario, Cavite",40000000.0,commercial,0.0,0.0,642.0,1500.0,"Commercial Residential Property Location Silangan II, Rosario, Cavite Floor Area 642 sqm. Land Size 1500 sqm. Price 60,000,000 Php",Remedios Palad,https://www.lamudi.com.ph/-agn-44722/,FULLY VERIFIED,Cavite,120.8577196,14.4160739,NIOG,12.0062153833743,n12170109477,1.18262099208489,n660610237,0.308456262743481,Primark Town Center Rosario Public Market,0.091437283237658,r16464587,0.145848535474581,0,1,2,5,40000000.0 commercial 0.0 0.0 642.0 1500.0,CR,silangan ii rosario,35000
"Maduya, Carmona",https://www.lamudi.com.ph/buy/cavite/carmona/3-300-sq-m-warehouse-for-sale-in-maduya-carmona-ca-168932723945/,CO6188B30EF014CPH,"3,300 sq.m. Warehouse for Sale in Maduya, Carmona, Cavite SLEX Exit",115500000.0,commercial,0.0,0.0,2700.0,3300.0,"Warehouse for Sale near SLEX Carmona Exit Property ID 381426 Lot Area 3,300 sqm Floor Area 2,700 sqm Adjacent Warehouses Property is Located at Brgy. Maduya, Carmona Owner use, 2 Months to vacate Inside Industrial Park PEZA non PEZA Lo",Ronny Padernal,https://www.lamudi.com.ph/ronny-padernal-agn/,FULLY VERIFIED,Cavite,121.0637127,14.3179626,NIOG,19.263851248999,n7447733713,0.221910812569921,w1116684380,1.04033802616261,Walter Mart Carmona	,1.44395233929553,w145889470,0.328057383476094,10,0,0,6,115500000.0 commercial 0.0 0.0 2700.0 3300.0,CR,maduya carmona,35000
"Hen. E. Aguinaldo, Cavite City",https://www.lamudi.com.ph/buy/cavite/cavite-city/1-1-hectares-commercial-lot-along-aguinaldo-highwa-172422497927/,CO66C595D3B30CBPH,1.1 Hectares Commercial Lot Along Aguinaldo Highway,401870000.0,commercial,0.0,0.0,0.0,11482.0,"Commercial Property For Sale Along Aguinaldo Highway , Bacoor, CaviteLA 11,482sq.m Clean Papers Title Very Wide Frontage Ideal for Malls Office Establishment Retail Store",Broker She Manalang,https://www.lamudi.com.ph/-6221/,FULLY VERIFIED,Cavite,120.882909,14.45841,NIOG,8.2851422098801,n6286659898,3.13001575945195,w284349392,0.560657331591146,Primark Town Center Noveleta	,3.34545273806228,w290633590,0.35946765953683,0,1,0,3,401870000.0 commercial 0.0 0.0 0.0 11482.0,CR,hen aguinaldo cavite city,39000
Bacoor,https://www.lamudi.com.ph/buy/cavite/bacoor/san-roque-molino-bacoor-cavite-wet-and-dry-market-172442070648/,CO66C89262EC186PH,SAN ROQUE MOLINO BACOOR CAVITE WET AND DRY MARKET WITH GROCERY FOR SALE,120000.0,commercial,0.0,0.0,18246.0,0.0," SAN ROQUE MOLINO Location Bacoor Cavite Property Type Wet and Dry Market with grocery Price 120,000.00 Unit sqm 18,246 sqm. Lot Area Others Sale Includes the following areas tenants Jollibee Flying V Mang I",Jobee Oca,https://www.lamudi.com.ph/oca-prime-realtt-agn-223616/,FULLY VERIFIED,Cavite,120.9566736,14.4418331,NIOG,1.98664210889069,n6332001987,0.496518611956474,w456859394,1.03062445993514,SM City Bacoor,0.64916724006946,r14176822,0.468202928740369,10,0,1,10,120000.0 commercial 0.0 0.0 18246.0 0.0,CR,bacoor,57000
Imus,https://www.lamudi.com.ph/buy/cavite/imus/7-door-apartment-for-sale-in-imus-cavite-167766156861/,AP63FF158055D25PH,"7 Door Apartment for sale in Imus, Cavite",17500000.0,commercial,0.0,0.0,0.0,308.0,"7 door apartment including tenants Lot size 308 sqm 2 storey Price is 17.5M negotiable Location Imus Cavite Apartment for sale in Imus, Cavite",Marife Yabut,https://www.lamudi.com.ph/hebron-realty/,FULLY VERIFIED,Cavite,120.9308472,14.4100263,NIOG,6.30227169708128,n5529446420,1.04163525981299,n2008421593,0.521144959021134,SM Center Imus	,0.640590429315515,r18107512,0.111055126916122,0,2,1,9,17500000.0 commercial 0.0 0.0 0.0 308.0,CR,imus,2100
"Perez, Trece Martires",https://www.lamudi.com.ph/buy/cavite/trece-martires/commercial-and-residential-at-golden-horizon-trece-171922025553/,CO6679381F14C61PH,"Commercial and Residential at Golden Horizon Trece Martirez, Cavite",4996734.0,commercial,0.0,0.0,108.0,90.0,SHOPHOUSE at GOLDEN HORIZON Location Brgy. Hugo Perez Trece Matires City Cavite Portia Model 2 Storey Ground Floor Commercial 2nd Floor Residential Provision For 2 Bedrooms 1 Toilet and Bath Bare Finish Floor Area 108.00sqm Lot Area 90.00sqm Th,Marajc Realty,https://www.lamudi.com.ph/angelu-salles-agn-309696/,SEMI VERIFIED,Cavite,120.886854,14.290812,NIOG,20.2561166269411,n1652549607,1.01042891985496,w563319606,1.84341342038257,Walter Mart Trece Martires	,2.06252590164665,r16764153,0.75619567755041,0,0,0,3,4996734.0 commercial 0.0 0.0 108.0 90.0,CR,perez trece martires,18000
"Neogan, Tagaytay",https://www.lamudi.com.ph/projects/la-bella-tagaytay/food-business-cottage-area-for-sale-in-tagaytay-172012480443/,CO662C8F81F0E41PH,Food Business Cottage area for Sale in Tagaytay,3600000.0,commercial,0.0,0.0,67.0,120.0,"Cottages for Food Business available at La Bella, Tagaytay 3 66.60sqm Other units are also available",Leticia Tabayaay,https://www.lamudi.com.ph/leticia-tabayaay-agn-139098/,SEMI VERIFIED,Cavite,120.8985006,14.0934576,NIOG,41.0392922991833,n4447871394,0.751226975830857,w91696604,4.54409933156648,Robinsons Tagaytay	,4.888763674033,w1099799908,0.712859578193788,2,0,0,1,3600000.0 commercial 0.0 0.0 67.0 120.0,CR,neogan tagaytay,18000
General Trias,https://www.lamudi.com.ph/buy/cavite/general-trias/warehouse-for-sale-at-general-trias-city-cavite-wi-171766085293/,CO664AFFC5C3C90PH,Warehouse For Sale at General Trias City Cavite with Parking,25000000.0,commercial,0.0,0.0,1000.0,1785.0,"Cavite Warehouse For Sale at Gen. Trias City Lot Area 1,785 square meters Floor area 1,000 sqm more or less With Office Accessible to Trucks With Parking and open space Few minutes drive going to National hiway and other nearby commercial establishment",Gen Billones,https://www.lamudi.com.ph/billionaire-agn/,FULLY VERIFIED,Cavite,120.91297244674,14.29148939862,NIOG,19.2654915501224,n11665569614,0.0933524557983847,w228087526,0.713878557000291,V Central Mall General Trias	,0.288656916840717,n4477462689,0.387754836962522,9,2,2,4,25000000.0 commercial 0.0 0.0 1000.0 1785.0,CR,general trias,35000
Imus,https://www.lamudi.com.ph/buy/cavite/imus/for-sale-building-in-imus-cavite-near-aguinaldo-hi-170646101298/,CO65B46A1F5FF1FPH,"For sale Building in Imus, Cavite near Aguinaldo High way P36.5M",36500000.0,commercial,0.0,0.0,1200.0,322.0,"Property ID CVT SB322P365M For Sale Building Location Imus, Cavite Lot area 322 sqm 4 Storey Building 150 meters from Aguinaldo Highway Accessible Location Negotiable Selling Price P36,500,000.00 For Inquiries Contact A List Realty",A-List Realty,https://www.lamudi.com.ph/alist-realty/,FULLY VERIFIED,Cavite,120.9308472,14.4100263,NIOG,6.30227169708128,n5529446420,1.04163525981299,n2008421593,0.521144959021134,SM Center Imus	,0.640590429315515,r18107512,0.111055126916122,0,2,1,9,36500000.0 commercial 0.0 0.0 1200.0 322.0,CR,imus,21000
Imus,https://www.lamudi.com.ph/buy/cavite/imus/389sqm-commercial-space-for-sale-in-imus-cavite-170527284773/,CO657008039365CPH,"389sqm Commercial space For Sale in Imus, Cavite",7500000.0,commercial,0.0,0.0,0.0,389.0,389 sqm land area Good for commercial business Near commercial establishments Imus Cavite 7.5M,Marife Yabut,https://www.lamudi.com.ph/hebron-realty/,FULLY VERIFIED,Cavite,120.9308472,14.4100263,NIOG,6.30227169708128,n5529446420,1.04163525981299,n2008421593,0.521144959021134,SM Center Imus	,0.640590429315515,r18107512,0.111055126916122,0,2,1,9,7500000.0 commercial 0.0 0.0 0.0 389.0,CR,imus,35000
"Bancal, Carmona",https://www.lamudi.com.ph/buy/cavite/carmona/14-836-square-meter-warehouse-in-carmona-cavite-now-for-sale/,CO613CBBF7AFC75PH,"14,836 square meter Warehouse in Carmona, Cavite Now for Sale!",750000000.0,commercial,0.0,0.0,0.0,14836.0,"Now available for sale is a 14,836 sqm. Income Generating and Warehouse with multiple land site improvements. Its location is ideal for manufacturing and logistics companies as it is strategically located along Governor's Drive, a main road in Carmona.",Cons Villaruel,https://www.lamudi.com.ph/santos-knight-frank-inc-agn-1/,FULLY VERIFIED,Cavite,121.0076045,14.2841434,NIOG,20.080852301341,n8404071196,0.150850342884354,w591128598,1.2108355615112,Midtown Square	,0.65343714560739,n9915908372,0.212468759249149,13,0,1,10,750000000.0 commercial 0.0 0.0 0.0 14836.0,CR,bancal carmona,132000
"Molino IV, Bacoor",https://www.lamudi.com.ph/buy/cavite/bacoor/commercial-property-for-sale-in-molino4-bacoor-cav-170869750949/,CO65D709F8DFFAEPH,"Commercial Property For Sale In Molino4, Bacoor Cavite",63560000.0,commercial,0.0,0.0,0.0,1589.0,"LOT AREA 1,589 sqm PRICE 40k sqm 63,560,000.00 with existing tenants Lawson Angels burger market stalls income P200k to P250k Per month projected income if lot is fully utilize 400k to 500k beside Puregold Molino Town Center few estab",Zobelle88 Brokerage,https://www.lamudi.com.ph/zobelle88-brokerage-agn/,FULLY VERIFIED,Cavite,120.9943658,14.3810075,NIOG,9.45685746964893,n6226277034,0.072575552460343,w497156008,0.934566559828903,SOMO - A Vista Mall,1.67080638655364,w1137616411,0.214184405231351,3,1,0,3,63560000.0 commercial 0.0 0.0 0.0 1589.0,CR,molino iv bacoor,35000
"Bacao II, General Trias",https://www.lamudi.com.ph/buy/cavite/general-trias/for-sale-income-generating-commercial-bldg-in-ante-169942232859/,CO654B20780027BPH,"FOR SALE Income Generating Commercial Bldg in Antel Grand Village, Cavite",21300000.0,commercial,0.0,0.0,0.0,370.0,"FOR SALE Commercial Building, Main Entrance Gate of Antel Grand Village Forbes , General Trias, Cavite Lot Area 370 sqm Corner Lot Current Structure Tenant DALI Grocery Store Lease Term 2022 2037 15 years Monthly rental 55K with 5 Escalation",Betty Gorospe,https://www.lamudi.com.ph/-17482/,FULLY VERIFIED,Cavite,120.881337,14.410355,NIOG,10.0544559272852,n9837728967,1.96745070997157,n2610273475,1.86446278298853,Primark Town Center Noveleta	,1.97456396784293,w414299110,0.609913493683065,0,0,0,2,21300000.0 commercial 0.0 0.0 0.0 370.0,CR,bacao ii general trias,18000
"Maguyam, Silang",https://www.lamudi.com.ph/projects/cavite-light-industrial-park/as-for-sale-warehouse-located-in-cavite-light-industrial-park-silang-cavite/,CO629F1A40A15C9PH,As For Sale Warehouse Located In Cavite Light Industrial Park Silang Cavite,62000000.00000001,commercial,0.0,0.0,1417.0,1876.0,"As For Sale Warehouse Located In Cavite Light Industrial Park Silang Cavite For Sale Warehouse in Cavite Light Industrial Park Silang Cavite Brand New Warehouse with Loading Bay Lot Area 1,876 sqm Floor Area 1,417 sqm covered area 180 sqm Parking",Excel Realty Corporation,https://www.lamudi.com.ph/excel-realty-corporation-agn/,FULLY VERIFIED,Cavite,120.9742517,14.2325514,NIOG,25.1629703948562,n7918757421,0.262496476784903,n340329900,0.225262541868444,Vista Mall Silang	,1.04964488533774,n8317936898,0.36083160091433,17,4,0,8,62000000.00000001 commercial 0.0 0.0 1417.0 1876.0,CR,maguyam silang,35000
Cavite City,https://www.lamudi.com.ph/buy/cavite/cavite-city/fully-fitted-warehouse-in-cavite-city-166020879756/,CO62F4C69D35292PH,"For Sale Fully Fitted 704 square meters Warehouse in Cavite City, Cavite",40000000.0,commercial,0.0,0.0,0.0,704.0,"Lot Area 704 square meters Selling Price 40,000,000 Warehouse and lot for end use Completely fitted",Andrew Sy,https://www.lamudi.com.ph/gss-inc-agn/,FULLY VERIFIED,Cavite,120.8938768,14.4776906,NIOG,7.37997823376534,n5850034214,4.06716107046996,w284348300,0.213303304041599,Lokal Mall	,5.37167484333717,w538398655,0.20062984977196,0,1,0,6,40000000.0 commercial 0.0 0.0 0.0 704.0,CR,cavite city,113000
"Inchican, Silang",https://www.lamudi.com.ph/buy/cavite/silang/for-sale-commercial-unit-at-the-ground-floor-stanford-suites-2-silang/,CO5E25A98F47FB0PH,"For Sale Commercial Unit at the Ground Floor Stanford Suites 2, Silang",4500000.0,commercial,0.0,0.0,19.5,0.0,"Please give full name when inquiring. FOR SALE Commercial unit at the ground floor of Stanford 2 South Forbes South Blvd., Inchican, Silang, Cavite Floor area 19.5 sq. meters Ready for occupancy Viewing by appointment only DEAL ONLY WITH LICENSED REAL",Eva Emilia Carreon,https://www.lamudi.com.ph/eva-emilia-carreon-agn/,FULLY VERIFIED,Cavite,121.042029,14.2392194,NIOG,25.9421389435253,n12123733586,1.36762332036665,w530432230,1.39372456400415,Primark Town Center Silang	,4.02996338800247,n6802306885,0.351318254139376,0,0,0,1,4500000.0 commercial 0.0 0.0 19.5 0.0,CR,inchican silang,53000
"Paliparan I, Dasmariñas",https://www.lamudi.com.ph/buy/cavite/dasmarinas/industrial-lot-for-sale-with-warehouse-in-paliparan-road-dasmarinas-cavite/,CO5E37CF595B951PH,Industrial lot for sale with warehouse in Paliparan Road Dasmariñas Cavite,271750000.0,commercial,0.0,0.0,0.0,10870.0,"Industrial lot for sale with warehouse in Paliparan Road Dasmariñas Cavite Property Code FS014 Project Tower INDUSTRIAL LOT WITH WAREHOUSE Location Paliparan Road, Dasmarinas, Cavite Size LA Total 10,870 sq.m Type INDUSTRIAL LOT Other details ",Andre Lotuaco,https://www.lamudi.com.ph/aaa-solutions-realty-co/,FULLY VERIFIED,Cavite,120.986405,14.282791,NIOG,19.7659485925217,n9897563526,0.569673920233619,w591128598,1.101181292651,Unitop Mall Dasmariñas	,0.605922280743645,w92432642,1.11489608241184,12,0,1,0,271750000.0 commercial 0.0 0.0 0.0 10870.0,CR,paliparan dasmariñas,21000
